            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2459559.500000000, A.D. 2021-Dec-11 00:00:00.0000,  2.720626286288278E+07,  1.450624675462033E+08,  1.874863439260423E+04,
2459560.500000000, A.D. 2021-Dec-12 00:00:00.0000,  2.463425553079470E+07,  1.455256734353129E+08,  1.872509835726023E+04,
2459561.500000000, A.D. 2021-Dec-13 00:00:00.0000,  2.205445580035086E+07,  1.459439317815957E+08,  1.868452953870595E+04,
2459562.500000000, A.D. 2021-Dec-14 00:00:00.0000,  1.946764919601573E+07,  1.463171464787882E+08,  1.863009477780759E+04,
2459563.500000000, A.D. 2021-Dec-15 00:00:00.0000,  1.687461542612897E+07,  1.466452308123440E+08,  1.856543464106321E+04,
2459564.500000000, A.D. 2021-Dec-16 00:00:00.0000,  1.427612952117514E+07,  1.469281067613647E+08,  1.849451239760965E+04,
2459565.500000000, A.D. 2021-Dec-17 00:00:00.0000,  1.167296276506426E+07,  1.471657044255471E+08,  1.842148559289426E+04,
2459566.500000000, A.D. 2021-Dec-18 00:00:00.0000,  9.065883541872168E+06,  1.473579614780644E+08,  1.835058599974960E+04,
2459567.500000000, A.D. 2021-Dec-19 00:00:00.0000,  6.455658207711240E+06,  1.475048226339769E+08,  1.828599871137738E+04,
2459568.500000000, A.D. 2021-Dec-20 00:00:00.0000,  3.843052056180981E+06,  1.476062391772353E+08,  1.823173685760796E+04,
2459569.500000000, A.D. 2021-Dec-21 00:00:00.0000,  1.228830396806681E+06,  1.476621686068957E+08,  1.819151317244023E+04,
2459570.500000000, A.D. 2021-Dec-22 00:00:00.0000, -1.386240273139412E+06,  1.476725744505532E+08,  1.816861222797632E+04,
2459571.500000000, A.D. 2021-Dec-23 00:00:00.0000, -4.001391038475332E+06,  1.476374262631274E+08,  1.816576706757396E+04,
2459572.500000000, A.D. 2021-Dec-24 00:00:00.0000, -6.615849298947178E+06,  1.475566998006022E+08,  1.818504159884900E+04,
2459573.500000000, A.D. 2021-Dec-25 00:00:00.0000, -9.228837448915377E+06,  1.474303773512401E+08,  1.822771678955108E+04,
2459574.500000000, A.D. 2021-Dec-26 00:00:00.0000, -1.183957144321164E+07,  1.472584482374962E+08,  1.829417650498450E+04,
2459575.500000000, A.D. 2021-Dec-27 00:00:00.0000, -1.444725916368040E+07,  1.470409095776532E+08,  1.838379020984471E+04,
2459576.500000000, A.D. 2021-Dec-28 00:00:00.0000, -1.705109853127775E+07,  1.467777675098889E+08,  1.849479721856117E+04,
2459577.500000000, A.D. 2021-Dec-29 00:00:00.0000, -1.965027543418266E+07,  1.464690392006474E+08,  1.862421243424714E+04,
2459578.500000000, A.D. 2021-Dec-30 00:00:00.0000, -2.224396179106075E+07,  1.461147560105700E+08,  1.876779548661411E+04,
2459579.500000000, A.D. 2021-Dec-31 00:00:00.0000, -2.483131441210085E+07,  1.457149680559117E+08,  1.892014627630264E+04,
2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000, -2.741147560901964E+07,  1.452697499646169E+08,  1.907499306293577E+04,
2459581.500000000, A.D. 2022-Jan-02 00:00:00.0000, -2.998357645211934E+07,  1.447792069087743E+08,  1.922570280000567E+04,
2459582.500000000, A.D. 2022-Jan-03 00:00:00.0000, -3.254674291609676E+07,  1.442434793256676E+08,  1.936596137028933E+04,
2459583.500000000, A.D. 2022-Jan-04 00:00:00.0000, -3.510010400372842E+07,  1.436627446787814E+08,  1.949047737010568E+04,
2459584.500000000, A.D. 2022-Jan-05 00:00:00.0000, -3.764279993382615E+07,  1.430372154831975E+08,  1.959552289509773E+04,
2459585.500000000, A.D. 2022-Jan-06 00:00:00.0000, -4.017398837922980E+07,  1.423671342315953E+08,  1.967918024103343E+04,
2459586.500000000, A.D. 2022-Jan-07 00:00:00.0000, -4.269284765425561E+07,  1.416527669012105E+08,  1.974128275847435E+04,
2459587.500000000, A.D. 2022-Jan-08 00:00:00.0000, -4.519857701011016E+07,  1.408943968091779E+08,  1.978314182323217E+04,
2459588.500000000, A.D. 2022-Jan-09 00:00:00.0000, -4.769039502493346E+07,  1.400923199045074E+08,  1.980718706718832E+04,
2459589.500000000, A.D. 2022-Jan-10 00:00:00.0000, -5.016753721682608E+07,  1.392468417468002E+08,  1.981662064645439E+04,
2459590.500000000, A.D. 2022-Jan-11 00:00:00.0000, -5.262925369931493E+07,  1.383582758638802E+08,  1.981513681089133E+04,
2459591.500000000, A.D. 2022-Jan-12 00:00:00.0000, -5.507480728195452E+07,  1.374269429840791E+08,  1.980671619789302E+04,
2459592.500000000, A.D. 2022-Jan-13 00:00:00.0000, -5.750347209493531E+07,  1.364531706806796E+08,  1.979548049484193E+04,
2459593.500000000, A.D. 2022-Jan-14 00:00:00.0000, -5.991453263099138E+07,  1.354372931032687E+08,  1.978558459316939E+04,
2459594.500000000, A.D. 2022-Jan-15 00:00:00.0000, -6.230728302080212E+07,  1.343796506177416E+08,  1.978112388880551E+04,
2459595.500000000, A.D. 2022-Jan-16 00:00:00.0000, -6.468102634844150E+07,  1.332805893006923E+08,  1.978603923711181E+04,
2459596.500000000, A.D. 2022-Jan-17 00:00:00.0000, -6.703507384326003E+07,  1.321404603284890E+08,  1.980400872203708E+04,
2459597.500000000, A.D. 2022-Jan-18 00:00:00.0000, -6.936874383884817E+07,  1.309596193661982E+08,  1.983832262296230E+04,
2459598.500000000, A.D. 2022-Jan-19 00:00:00.0000, -7.168136045806831E+07,  1.297384260946642E+08,  1.989174482941628E+04,
2459599.500000000, A.D. 2022-Jan-20 00:00:00.0000, -7.397225205288696E+07,  1.284772440132014E+08,  1.996636935846508E+04,
2459600.500000000, A.D. 2022-Jan-21 00:00:00.0000, -7.624074948271997E+07,  1.271764406240904E+08,  2.006348347343504E+04,
2459601.500000000, A.D. 2022-Jan-22 00:00:00.0000, -7.848618434110197E+07,  1.258363880573724E+08,  2.018344873109460E+04,
2459602.500000000, A.D. 2022-Jan-23 00:00:00.0000, -8.070788723462851E+07,  1.244574641530842E+08,  2.032560891167819E+04,
2459603.500000000, A.D. 2022-Jan-24 00:00:00.0000, -8.290518619464777E+07,  1.230400540051873E+08,  2.048823133144528E+04,
2459604.500000000, A.D. 2022-Jan-25 00:00:00.0000, -8.507740529120511E+07,  1.215845519952623E+08,  2.066848820915073E+04,
2459605.500000000, A.D. 2022-Jan-26 00:00:00.0000, -8.722386355554530E+07,  1.200913643875888E+08,  2.086248945559561E+04,
2459606.500000000, A.D. 2022-Jan-27 00:00:00.0000, -8.934387442357467E+07,  1.185609125737348E+08,  2.106538697102666E+04,
2459607.500000000, A.D. 2022-Jan-28 00:00:00.0000, -9.143674607141779E+07,  1.169936369749677E+08,  2.127157875845581E+04,
2459608.500000000, A.D. 2022-Jan-29 00:00:00.0000, -9.350178314448537E+07,  1.153900013727424E+08,  2.147503983847052E+04,
2459609.500000000, A.D. 2022-Jan-30 00:00:00.0000, -9.553829033544007E+07,  1.137504970498046E+08,  2.166978525923938E+04,
2459610.500000000, A.D. 2022-Jan-31 00:00:00.0000, -9.754557789721760E+07,  1.120756457411256E+08,  2.185042449092865E+04,
2459611.500000000, A.D. 2022-Feb-01 00:00:00.0000, -9.952296849499424E+07,  1.103660003098627E+08,  2.201271077170968E+04,
2459612.500000000, A.D. 2022-Feb-02 00:00:00.0000, -1.014698041043763E+08,  1.086221425265812E+08,  2.215395782439411E+04,
2459613.500000000, A.D. 2022-Feb-03 00:00:00.0000, -1.033854514239464E+08,  1.068446782491132E+08,  2.227322135698795E+04,
2459614.500000000, A.D. 2022-Feb-04 00:00:00.0000, -1.052693047414198E+08,  1.050342311835213E+08,  2.237122002398223E+04,
2459615.500000000, A.D. 2022-Feb-05 00:00:00.0000, -1.071207861213376E+08,  1.031914367256722E+08,  2.245005611205101E+04,
2459616.500000000, A.D. 2022-Feb-06 00:00:00.0000, -1.089393436088189E+08,  1.013169370260161E+08,  2.251284235811979E+04,
2459617.500000000, A.D. 2022-Feb-07 00:00:00.0000, -1.107244484801203E+08,  9.941137772478078E+07,  2.256333431632817E+04,
2459618.500000000, A.D. 2022-Feb-08 00:00:00.0000, -1.124755924292164E+08,  9.747540619787177E+07,  2.260562850441784E+04,
2459619.500000000, A.D. 2022-Feb-09 00:00:00.0000, -1.141922852135157E+08,  9.550967084444456E+07,  2.264394424832612E+04,
2459620.500000000, A.D. 2022-Feb-10 00:00:00.0000, -1.158740529271575E+08,  9.351482090781558E+07,  2.268247833219916E+04,
2459621.500000000, A.D. 2022-Feb-11 00:00:00.0000, -1.175204368317555E+08,  9.149150642835170E+07,  2.272530844951048E+04,
2459622.500000000, A.D. 2022-Feb-12 00:00:00.0000, -1.191309925530035E+08,  8.944037807572633E+07,  2.277631922701746E+04,
2459623.500000000, A.D. 2022-Feb-13 00:00:00.0000, -1.207052894097715E+08,  8.736208674722618E+07,  2.283912802651152E+04,
2459624.500000000, A.D. 2022-Feb-14 00:00:00.0000, -1.222429096471041E+08,  8.525728293679769E+07,  2.291699374320358E+04,
2459625.500000000, A.D. 2022-Feb-15 00:00:00.0000, -1.237434473806863E+08,  8.312661597951037E+07,  2.301269939267635E+04,
2459626.500000000, A.D. 2022-Feb-16 00:00:00.0000, -1.252065071268762E+08,  8.097073335862112E+07,  2.312840831092000E+04,
2459627.500000000, A.D. 2022-Feb-17 00:00:00.0000, -1.266317018912129E+08,  7.879028031709395E+07,  2.326550388293713E+04,
2459628.500000000, A.D. 2022-Feb-18 00:00:00.0000, -1.280186509116110E+08,  7.658590002314292E+07,  2.342443231508881E+04,
2459629.500000000, A.D. 2022-Feb-19 00:00:00.0000, -1.293669772750496E+08,  7.435823448413333E+07,  2.360457439650968E+04,
2459630.500000000, A.D. 2022-Feb-20 00:00:00.0000, -1.306763057106393E+08,  7.210792628847876E+07,  2.380417279991135E+04,
2459631.500000000, A.D. 2022-Feb-21 00:00:00.0000, -1.319462608761018E+08,  6.983562111252439E+07,  2.402033546067402E+04,
2459632.500000000, A.D. 2022-Feb-22 00:00:00.0000, -1.331764663966174E+08,  6.754197080741842E+07,  2.424912516673282E+04,
2459633.500000000, A.D. 2022-Feb-23 00:00:00.0000, -1.343665448186779E+08,  6.522763681681705E+07,  2.448573504881188E+04,
2459634.500000000, A.D. 2022-Feb-24 00:00:00.0000, -1.355161185576226E+08,  6.289329366911517E+07,  2.472474290305376E+04,
2459635.500000000, A.D. 2022-Feb-25 00:00:00.0000, -1.366248118767894E+08,  6.053963229688255E+07,  2.496043449044973E+04,
2459636.500000000, A.D. 2022-Feb-26 00:00:00.0000, -1.376922539218947E+08,  5.816736290894206E+07,  2.518718333182111E+04,
2459637.500000000, A.D. 2022-Feb-27 00:00:00.0000, -1.387180827838755E+08,  5.577721705791349E+07,  2.539986653125659E+04,
2459638.500000000, A.D. 2022-Feb-28 00:00:00.0000, -1.397019504081658E+08,  5.336994845665203E+07,  2.559428020191193E+04,
2459639.500000000, A.D. 2022-Mar-01 00:00:00.0000, -1.406435278978471E+08,  5.094633211221157E+07,  2.576749897733703E+04,
2459640.500000000, A.D. 2022-Mar-02 00:00:00.0000, -1.415425104722114E+08,  4.850716157301924E+07,  2.591811460756138E+04,
2459641.500000000, A.D. 2022-Mar-03 00:00:00.0000, -1.423986212273079E+08,  4.605324452022281E+07,  2.604630226138234E+04,
2459642.500000000, A.D. 2022-Mar-04 00:00:00.0000, -1.432116130474021E+08,  4.358539740643504E+07,  2.615370199576207E+04,
2459643.500000000, A.D. 2022-Mar-05 00:00:00.0000, -1.439812684993074E+08,  4.110444010197533E+07,  2.624315146189928E+04,
2459644.500000000, A.D. 2022-Mar-06 00:00:00.0000, -1.447073980779545E+08,  3.861119140550622E+07,  2.631834025743976E+04,
2459645.500000000, A.D. 2022-Mar-07 00:00:00.0000, -1.453898375063368E+08,  3.610646588850922E+07,  2.638346146375872E+04,
2459646.500000000, A.D. 2022-Mar-08 00:00:00.0000, -1.460284448215014E+08,  3.359107209201963E+07,  2.644291526326910E+04,
2459647.500000000, A.D. 2022-Mar-09 00:00:00.0000, -1.466230977767808E+08,  3.106581177320736E+07,  2.650108850837126E+04,
2459648.500000000, A.D. 2022-Mar-10 00:00:00.0000, -1.471736918117113E+08,  2.853147977443767E+07,  2.656220727210678E+04,
2459649.500000000, A.D. 2022-Mar-11 00:00:00.0000, -1.476801386026872E+08,  2.598886411615759E+07,  2.663024329292960E+04,
2459650.500000000, A.D. 2022-Mar-12 00:00:00.0000, -1.481423650531512E+08,  2.343874602066616E+07,  2.670884920987114E+04,
2459651.500000000, A.D. 2022-Mar-13 00:00:00.0000, -1.485603125033513E+08,  2.088189969900599E+07,  2.680129803993460E+04,
2459652.500000000, A.D. 2022-Mar-14 00:00:00.0000, -1.489339359113318E+08,  1.831909185387772E+07,  2.691040645268559E+04,
2459653.500000000, A.D. 2022-Mar-15 00:00:00.0000, -1.492632027624434E+08,  1.575108096702803E+07,  2.703842780600488E+04,
2459654.500000000, A.D. 2022-Mar-16 00:00:00.0000, -1.495480915052484E+08,  1.317861655535613E+07,  2.718690996515751E+04,
2459655.500000000, A.D. 2022-Mar-17 00:00:00.0000, -1.497885894027178E+08,  1.060243869041485E+07,  2.735652542658709E+04,
2459656.500000000, A.D. 2022-Mar-18 00:00:00.0000, -1.499846898445384E+08,  8.023278152551101E+06,  2.754689680350246E+04,
2459657.500000000, A.D. 2022-Mar-19 00:00:00.0000, -1.501363893810872E+08,  5.441857583002267E+06,  2.775645600409736E+04,
2459658.500000000, A.D. 2022-Mar-20 00:00:00.0000, -1.502436849580696E+08,  2.858893855685057E+06,  2.798238387148944E+04,
2459659.500000000, A.D. 2022-Mar-21 00:00:00.0000, -1.503065719556645E+08,  2.751016122481530E+05,  2.822067139114767E+04,
2459660.500000000, A.D. 2022-Mar-22 00:00:00.0000, -1.503250435748282E+08, -2.308802431740251E+06,  2.846632125127863E+04,
2459661.500000000, A.D. 2022-Mar-23 00:00:00.0000, -1.502990918525040E+08, -4.892095053514361E+06,  2.871367606761749E+04,
